@attribute name string
@attribute pcm_LOGenergy_sma_maxPos numeric
@attribute emotion {sadness,neutral,joy,anger}


@Data


'fixed_1 Dziaugsmas_01',1.270000e+02,joy
'fixed_5 Dziaugsmas_02',1.480000e+02,joy
'fixed_7 Neutrali_01',2.200000e+02,neutral
'fixed_2 Neutrali_03',1.790000e+02,neutral
'fixed_7 Neutrali_02',4.100000e+01,neutral
'fixed_2 Neutrali_04',1.600000e+02,neutral
'fixed_1 Dziaugsmas_02',1.130000e+02,joy
'fixed_5 Dziaugsmas_03',1.420000e+02,joy
'fixed_7 Neutrali_03',1.530000e+02,neutral
'fixed_1 Dziaugsmas_03',1.180000e+02,joy
'fixed_1 Dziaugsmas_04',1.820000e+02,joy
'fixed_1 Dziaugsmas_05',2.770000e+02,joy
'fixed_2 Neutrali_05',5.300000e+01,neutral
'fixed_7 Neutrali_04',2.640000e+02,neutral
'fixed_5 Dziaugsmas_04',1.130000e+02,joy
'fixed_1 Dziaugsmas_06',1.150000e+02,joy
'fixed_2 Neutrali_06',4.700000e+01,neutral
'fixed_7 Neutrali_05',6.600000e+01,neutral
'fixed_5 Dziaugsmas_05',7.400000e+01,joy
'fixed_1 Dziaugsmas_07',1.800000e+02,joy
'fixed_7 Neutrali_06',6.300000e+01,neutral
'fixed_5 Dziaugsmas_06',5.000000e+01,joy
'fixed_1 Dziaugsmas_08',1.970000e+02,joy
'fixed_2 Neutrali_07',1.580000e+02,neutral
'fixed_5 Dziaugsmas_07',1.910000e+02,joy
'fixed_1 Dziaugsmas_09',1.480000e+02,joy
'fixed_7 Neutrali_07',1.970000e+02,neutral
'fixed_2 Neutrali_08',1.250000e+02,neutral
'fixed_1 Dziaugsmas_10',5.700000e+01,joy
'fixed_5 Dziaugsmas_08',2.310000e+02,joy
'fixed_2 Neutrali_09',8.400000e+01,neutral
'fixed_1 Dziaugsmas_100',2.690000e+02,joy
'fixed_2 Neutrali_10',2.080000e+02,neutral
'fixed_5 Dziaugsmas_09',1.480000e+02,joy
'fixed_7 Neutrali_08',9.900000e+01,neutral
'fixed_1 Dziaugsmas_11',3.300000e+01,joy
'fixed_7 Neutrali_09',1.730000e+02,neutral
'fixed_2 Neutrali_100',3.100000e+02,neutral
'fixed_1 Dziaugsmas_12',1.100000e+02,joy
'fixed_1 Dziaugsmas_13',2.250000e+02,joy
'fixed_5 Dziaugsmas_10',6.600000e+01,joy
'fixed_7 Neutrali_10',6.500000e+01,neutral
'fixed_2 Neutrali_11',5.300000e+01,neutral
'fixed_1 Dziaugsmas_14',1.150000e+02,joy
'fixed_1 Dziaugsmas_15',1.710000e+02,joy
'fixed_2 Neutrali_12',1.520000e+02,neutral
'fixed_7 Neutrali_100',3.030000e+02,neutral
'fixed_1 Dziaugsmas_16',7.500000e+01,joy
'fixed_5 Dziaugsmas_100',2.660000e+02,joy
'fixed_7 Neutrali_11',2.600000e+01,neutral
'fixed_5 Dziaugsmas_11',3.800000e+01,joy
'fixed_2 Neutrali_13',1.280000e+02,neutral
'fixed_1 Dziaugsmas_17',8.800000e+01,joy
'fixed_5 Dziaugsmas_12',2.080000e+02,joy
'fixed_2 Neutrali_14',1.020000e+02,neutral
